1000.1	63
1000.1	406
1000.1	522
1000.1	719
1000.1	882
1000.1	954
1000.1	1087
1000.1	1147
1000.1	1361
1000.1	1496
1000.1	1998
1000.1	2006
1000.1	2090
1000.1	2249
1000.1	2773
1000.1	2811
1000.1	3284
1000.1	3302
1000.1	3441
1000.1	3639
1000.1	3918
1000.1	4401
1000.1	4629
1000.1	5027
1000.1	5344
1000.1	5522
1000.1	5751
1000.1	6521
1000.1	6780
1000.1	7103
1000.1	7477
1000.1	8536
1000.1	9030
1000.1	9378
1000.1	9420
1000.1	9480
1000.1	9544
1000.1	9743
1000.1	9822
1000.1	10384
1000.1	10428
1000.1	11457
1000.1	12274
1000.1	12425
1000.2	500
1000.2	591
1000.2	816
1000.2	849
1000.2	964
1000.2	1695
1000.2	1811
1000.2	2415
1000.2	2472
1000.2	2749
1000.2	2932
1000.2	3026
1000.2	3133
1000.2	3495
1000.2	3909
1000.2	4192
1000.2	4301
1000.2	4481
1000.2	4552
1000.2	4640
1000.2	4831
1000.2	4921
1000.2	4934
1000.2	4997
1000.2	5146
1000.2	5224
1000.2	5415
1000.2	5539
1000.2	5592
1000.2	5593
1000.2	5998
1000.2	6435
1000.2	7251
1000.2	7383
1000.2	7424
1000.2	7796
1000.2	7991
1000.2	8405
1000.2	8913
1000.2	9165
1000.2	9613
1000.2	9758
1000.2	9908
1000.2	10043
1000.2	10250
1000.2	10979
1000.2	11069
1000.2	11135
1000.2	11774
1000.2	11825
1000.2	12061
1000.2	12321
1000.2	12327
1000.3	200
1000.3	628
1000.3	1021
1000.3	1261
1000.3	1283
1000.3	1730
1000.3	2095
1000.3	2119
1000.3	2515
1000.3	2960
1000.3	3223
1000.3	3505
1000.3	3579
1000.3	3715
1000.3	3756
1000.3	4181
1000.3	4312
1000.3	4731
1000.3	4830
1000.3	4850
1000.3	4933
1000.3	5043
1000.3	5058
1000.3	5235
1000.3	5499
1000.3	5819
1000.3	5886
1000.3	6629
1000.3	7285
1000.3	7905
1000.3	8102
1000.3	8594
1000.3	8643
1000.3	8687
1000.3	8754
1000.3	9060
1000.3	9062
1000.3	9148
1000.3	9168
1000.3	9320
1000.3	9433
1000.3	9629
1000.3	9797
1000.3	9893
1000.3	10016
1000.3	10416
1000.3	10675
1000.3	10710
1000.3	10734
1000.3	11222
1000.3	11287
1000.3	11291
1000.3	12047
1000.3	12157
1000.3	12195
1000.3	12198
1000.3	12420
1000.4	703
1000.4	725
1000.4	742
1000.4	748
1000.4	861
1000.4	999
1000.4	1379
1000.4	1405
1000.4	1472
1000.4	1547
1000.4	2037
1000.4	2401
1000.4	3107
1000.4	3310
1000.4	3725
1000.4	3762
1000.4	3768
1000.4	3840
1000.4	3905
1000.4	4103
1000.4	4509
1000.4	4537
1000.4	4579
1000.4	5079
1000.4	5127
1000.4	5189
1000.4	5508
1000.4	6957
1000.4	6982
1000.4	7095
1000.4	7157
1000.4	7254
1000.4	7276
1000.4	7592
1000.4	7703
1000.4	7834
1000.4	7995
1000.4	8146
1000.4	8147
1000.4	8157
1000.4	8280
1000.4	8499
1000.4	8669
1000.4	8815
1000.4	8832
1000.4	8899
1000.4	8955
1000.4	9102
1000.4	9258
1000.4	9323
1000.4	9329
1000.4	9481
1000.4	9874
1000.4	9878
1000.4	9986
1000.4	10169
1000.4	10201
